video_id,title,views,language
0aYWB3d7bJ8,【Full】《极限挑战III》第11期20171110：黄渤魔性PK斗鸡眼 张艺兴罗志祥戏精上身喝毒酒话离别！ Go Fighting S3 EP.11【东方卫视官方高清】,738561,English
pmJQ4KwliX4,"LATEST Q POSTS: ROTHSCHILDS, HOUSE OF SAUD, lLLUMlNATl +++MASSIVE INTEL DROP -PART4",116820,English
k3kgQrU5-p0,Transforming a Homeless Mans Life... **SUPER EMOTIONAL**,1788176,English
W-m1930mh1s,Steam Code how to get FREE and easily,56407,English
nAvudA4X6vI,Online Gaming Insults Gone Wild,378352,English
6p-QzY5bxJ0,The 'Stranger Things' Kids Were Nearly a Motown Super Group,5541767,English
xiS6rSvxl-M,10 More Famous Men EXPOSED After The Harvey Weinstein Scandal,319817,English
kRoCPSDCvts,【FULL】王俊凯不满章子顶嘴争执火药味十足？ 欧阳娜娜郑昊致敬经典被评演技不太好 《演员的诞生》第3期 20171111 [浙江卫视官方HD],469779,English
kpQlAGiyg3A,I Tried To Plan The Perfect Wedding,961644,English
AE8tATPge7o,IS GPU MINING STILL PROFITABLE? - Mining Adventure Part 1,786155,English
zxuvr9tN924,非诚勿扰 完整版 “小朱亚文”亮相《非诚勿扰》 孟非上演cosplay首秀 171111,150974,English
dKBThyjj0J0,'Helping People' Sneak Peek Ep. 805 | The Walking Dead,70448,English
pQgPR2V6924,《文茜世界周報》美媒狂酸川普　對華貿易選前選後判若兩人2017.11.11|Sisy's World News【完整版-FULL HD】,135620,English
lHcXhBojpeQ,三屆TVB視帝，拋棄10年青梅竹馬髮妻，為娶小三還不惜與母絕交！,88061,English
Yo84eqYwP98,"LA PIRE PARTIE ft Le Rire Jaune, Pierre Croce, Fabien Olicard, Nad Rich' Hard, Max Bird, Studio Vrac",432721,English
QDkLaDDJhG8,"MatPat, Gabbie Hanna, and Ricky Dillon | You Posted That?",193241,English
YW-EAR8N7y8,Donnie ft. Puffy L'z - Feeling Great (Official Video),19859,English
zCt_jjE_7O8,Remembrance Day: Paying tribute to Canada's fallen heroes,28808,English
kOnQocd799Y,Everything Wrong With Baby Driver In 14 Minutes Or Less,2736733,English
gHZ1Qz0KiKM,2 Weeks with iPhone X,119180,English
QUUOLFAbJ6A,Ireland Fans In Copenhagen Outside Victoria's Secret - Denmark vs Ireland,166818,English
fppmc_xzE7Y,《亲爱的客栈》第6期20171111: 杨紫自曝为了赵薇当演员 王珂刘涛变客栈运动担当 The Inn【湖南卫视官方频道】,415387,English
K6EZV-_Up34,Alisah Bonaobra sings Amazing Praying for Time -Her Last Song for X Factor 2017 Live Show Week 3,203332,English
1KHCqtTC0EQ,"Toronto Raptors vs Boston Celtics: November 12, 2017",102766,English
j1yVXcJxmSA,Trump's Ménage À Terrible Phone Call With France,756959,English
eDwaOTkIDGQ,I'm More Jamaican Than You ft. 4 YALL ENT I DT Skit,70463,English
O_adY_b-aLQ,Here's a Tour of the 2019 Chevy Corvette ZR1,374640,English
A0XvRL-sLVg,"31st ASEAN Summit  gala celebration dinner  November 12, 2017  President Trump Attend a gala dinner",197183,English
ocZqvs7gUzc,Hyundai Accent - CarManía,19646,English
lT47mzF3QVM,Grey's Anatomy - (It's the End of the World) - In the sun - 2x16,264577,English
_QHEPUKBn9g,‘Too Alabama for Alabama’: SNL brutally mocks Roy Moore in opening sketch,20163,English
GjP_A1Q1sjM,川普离京后立马“翻脸”  中国发布“惊人”政策（《万维读报》20171110）,320294,English
RqoTMr9eVOU,How To EASILY Make Money Online,33032,English
8ORvJcpe2Oc,Davido - FIA (Official Video),873333,English
ijJPFowBsBc,HUGE BEAUTY FAVOURITES! AUTUMN LOVES!,100666,English
SSLxfJ9rWeA,睡過范冰冰的20個男人首次揭秘，看完驚呆了！,78178,English
F6HTw5DU670,Dude Perfect Face Off | Spikeball,2682879,English
ujyTQNNjjDU,G-Eazy - The Plan (Official Video),2642930,English
1YhtkrC2t0c,New Eritrean film Dama (ዳማ)  part 13 Shalom Entertainment  2017,260199,English
lnFaRuWOLN0,"Emilie, 10 ans, Coach De Vie",1504950,English
ecCjoMFSIZA,6 Kitchen Gadgets That'll BLOW YOUR MIND. Maybe.,140099,English
HRlh-U718I0,"WHOEVER WINS, WE LOSE - Surfers VS Skaters Gameplay",282743,English
pVu4zRW5eso,OMG! MY ANTS ARE LEARNING!,152118,English
JdHovvb0KD4,Pres. Trump: Putin's Denials Of Interference In Election Are Sincere | The View,72253,English
QEBTK5_dRZ0,The Alt-Right Is Crushing On Taylor Swift,100394,English
JccE_V5q0-Q,Canada's Trudeau charms Manila as he orders fried chicken,30001,English
O-_52G3aKVU,Taylor Swift SNL Call It What You Want on Saturday Night Live,62915,English
4ILpUbtNw8I,5 Hellhounds Caught On Camera & Spotted In Real Life!,351181,English
1kuJkA9usqg,"Deivamagal Episode 1387, 13/11/17",387221,English
p2hJxyF7mok,New Emirates First Class Suite | Boeing 777 | Emirates,141148,English
Jjs8CIeHNeI,"24 Oras November 14, 2017",164110,English
h0qxFyj788c,CANADIAN PRIME MINISTER TRUDEAU & PRES. TRUMP GOT A SELFIE WITH DDS VLOGGER SASS AND ASEC MOCHA,43665,English
GOW7Qi27p7c,"Graham Norton Show S22E07 Hugh Grant, Jason Momoa, Sarah Millican and Kelly Clarkson",399208,English
wiXhcwpMU1I,Coco - Movie Review,231745,English
v0Gku2iX2rY,"Eat Bulaga  November 13, 2017 (FULL) Juan for All - All for Juan Sugod Bahay HD",87890,English
B5HORANmzHw,Founding An Inbreeding-Free Space Colony,223871,English
woJJNz1ZAV0,This Week in Stupid (12/11/2017),341134,English
8tbQHHso0oY,Bellator 187: Conor McGregor storms the Bellator MMA Cage,1107916,English
w5qMOyPuUqU,வாணி ராணி - VAANI RANI -  Episode 1416 - 13/11/2017,170707,English
NVCqz2BDfcQ,Gucci Mane  - Curve (ft. The Weeknd),946859,English
TpIqNpWtKEU,The Emoji Movie: What Went Wrong?  – Wisecrack Edition,275669,English
o4qUbIZn538,Stephen Curry New Hair Debut! Nick Young Left Wide Open! 2017-18 Season,650469,English
ceqntSXE-10,DESSINS ANIMÉS FRANÇAIS VS RUSSES 2 - Daniil le Russe,482153,English
skhu76iBvtU,Top 10 2000s Songs You Forgot Were Awesome,211868,English
oWQuB2lVQLc,Zvezde Granda - Cela emisija 06 - ZG 2017/18 - 11.11.2017.,496192,English
qntHpRYIJOM,YOU WILL HATE COW CHOP AFTER WATCHING THIS • WRONG SIDE OF YOUTUBE,375652,English
QldBP574S4I,Taylor Phelan Monsters - Official Lyric Video,35401,English
mXHAHcVfQIs,Think Fast | Booger Eater??,190106,English
LUGgIynLlPg,Best Of r/MildlyVandalised,183670,English
o-y6Q0bANm4,Côte d'Ivoire vs Maroc 0 - 2,265303,English
pkIr5FaNGhU,THERE'S ONLY SO MUCH RAGE I CAN HANDLE.. [GETTING OVER IT],219605,English
3t2jdkDBfPc,Switching to the iPhone X...,2742984,English
njo5kr1r4B8,"President Trump ASEAN Gala Dinner in Philippines, Manila 11/12/2017",93198,English
2AkE49hZfr4,15 Clear Signs Your Phone Was Hacked,721270,English
kVYTGWqffzk,What $1 Gets You Around The World!,778516,English
pw3iSkTRJWw,Kuladheivam SUN TV Episode - 771 (13-11-17),117022,English
bsgocWaULIU,Troydon bent - Jam African,16921,English
j9nCXKlZaSM,Alena TV -Tesfit Abraha - Dgul Hiyab - Part  4 - (ድጉል ህያብ ራብዓይ ክፋል)- New Eritrean Movie 2017,174130,English
L1fwxUV6GJE,Grey's Anatomy S10 Ep12 Jackson Stops The Wedding,107331,English
0PpNlNJ6Nng,Will It Watermarble?! Sister Edition | Watermarbling 9 random objects in nail polish!,1842393,English
OA0vhAKUD0g,Outlander S03E09 i'm melting with you'',32941,English
VDMOFa8iRqo,Dr. Greger in the Kitchen: My New Favorite Beverage,27910,English
L-ixmHzXl3w,"Si vous voyez ceci en forêt, courez vite et demandez de l'aide!",1388115,English
9_8mXKCBtm0,"Traveling in Bali - AMAZING FOOD and Attractions in UBUD, Bali, Indonesia!",161971,English
vqfU6N0IU5Y,How To Make Money Online With Mobile/Tablet ( Make Money By Installing Apps ),12603,English
5f-DW6Oq2cU,"How to Get Him Hooked in the First Two Weeks (Matthew Hussey, Get The Guy)",125273,English
AuAc1Vhdxz0,Badnaam Episode 13 - 12th November 2017 - ARY Digital Drama,403223,English
jGEJgk_2UM8,Successful Failure,248993,English
H8IWLEtFt9A,Intégrale - On n'est pas couché 11 novembre 2017 #ONPC,122282,English
TZ2mEuBweWY,Lil Pump - Gucci Gang PARODY,943626,English
w749rQf9gl8,访谈曹长青：永不放弃——如何看待郭文贵的现状与未来 《重磅访谈 郭宝胜政论》,64386,English
H5ZoBYWFxr4,12 BLAGUES À MOURIR DE RIRE ! LA GUERRE DES BLAGUES !,549498,English
GVtgu_b7svA,Trump meets Duterte in Manila for ASEAN gala dinner,58675,English
JKrqaPn-ulk,Journey of Remembrance | Three Sisters Trio,13293,English
psDauoxUj9A,شاهد انبهار الاعلام المصري  بتأهل المغرب لكأس العالم  و يعتبر المغرب أقوى فريق عربي و افريقي,624328,English
VvlBSgUrNSQ,Making Chocolate Croissants: Behind Tasty,694624,English
QbBNjjZthsg,8 PIRES OBJETS de BATMAN,294947,English
SwnP04VvfOY,بالفيديو ... سعد الحريري يتلقى معلومة من خلف الكاميرا,40454,English
5u-nn4Bb4f0,Trump's Big Day Out In China | The Daily Show,291697,English
0RFhWyM6qbA,Benzema balance ses dur vérités Deschamps et Les bleus Dans le CFC !,635236,English
GgVmn66oK_A,Which Countries Are About To Collapse?,544770,English
nATGvlGP47o,Republicans Push Their Tax Plan After Election Losses: A Closer Look,1547309,English
LuOaMDzyaXE,VLOG DAD REACTS! |  MARTINEZ TWINS leaving Team 10 and dissing Jake Paul,387351,English
9bLSykjNLGY,r/oopsdidntmeanto Top Posts of All Time [2],235156,English
qLxfqXRHup0,赵乐际出手了，否定王岐山的私货“政治腐败”（2017.11.12）,85127,English
ulduUfiTV7M,"Juan For All, All For Juan | November 11, 2017",226051,English
YYOCmR5Lvbw,2017 Brazil Grand Prix: Race Highlights,758492,English
4du1KXBl4YU,Mehjabi Reveals Hina Khan Dirty Politics | Exclusive Interview | Bigg Boss  11,632747,English
QOi1D6v-_D4,"Rick Santorum SPEAKS Out Against Roy Moore, There's TEN Other People That Could Win That Race",29616,English
hM7diCCnyKg,The Trump Presidency (11/12/17) Last Week Tonight with John Oliver(HBO),10037,English
1f-94EP6Nk8,The Original Ramen in Japan - Chuka Soba,212040,English
ySJZJ-glsjM,What They Found Should Rewrite History!,157289,English
I2qScVQxjpo,7 Second Challenge: KNOCK-OFF DAN & PHIL,236040,English
F9ryLRmaBEM,Post Malone – Rockstar (feat. 21 Savage),1237072,English
IF4Cbb_82l0,Воскресный вечер с Владимиром Соловьевым от 12.11.2017,318474,English
ItYOdWRo0JY,Selling My iPhone X To a Machine at Walmart,1836419,English
gjXrm2Q-te4,Jimmy Fallon Pays Tribute to His Mother Gloria,1611093,English
VsYmwBOYfW8,Mean Tweets – Jimmy Kimmel Edition,2765121,English
kgaO45SyaO4,The New SpotMini,3701763,English
YvfYK0EEhK4,Brent Pella - Why You Shouldn't Fly on Spirit Airlines,462490,English
5530I_pYjbo,How I Trained My Cats,977285,English
0hKHdzTMAcI,StarCraft II Free to Play: Legacy,445043,English
bAkEd8r7Nnw,Slow Mo Katana Sword - 4K - The Slow Mo Guys,1529652,English
Ax1P5Q8Kr9g,"Huge IGN Failure Exposed, Why Zoella Is Being Called a Scammer, and EA Comes Under Fire...",971117,English
LXDAu8DnALw,Binging with Babish: Harry Potter Special,853635,English
ve3oQBjcAGI,Everything Wrong With Wonder Woman In 14 Minutes Or Less,1032547,English
WKMOuDoVxFw,猎场 | Game Of Hunting 16【TV版】（胡歌、張嘉譯、祖峰等主演）,119437,English
gFbY974MF88,Allegations Mount Against Roy Moore; Trump Cozies Up to Putin: A Closer Look,1503131,English
seGgZp-XYdM,Wax Presidents Trailer: Last Week Tonight with John Oliver (HBO),555499,English
hbhbu_Kf424,Big Mac vs Whopper: Which Is Healthier?,754502,English
b-ShNqtj8Yw,Kim Jong-Un Hurt President Trump's 'Old' Feelings,1025278,English
cxMvzK2OQTw,Cards Against Humanity Saves America,295217,English
rBpMYATttsI,LOWBALLING CAR SALESMAN PRANK!,340175,English
AT_XoYrpcDU,Fly Reef - No Top,15537,English
lSozbwZmq74,RNC update on Courtney Lake homicide,16337,English
6fv7CqCjiJw,People Guess Who is White In a Group of People - Lineup,459497,English
1SiKopOt-QM,26 SIMPLE WAYS TO SPEED UP YOUR EVERYDAY ROUTINE,4752153,English
HnCU20Cu0fs,Dashcam Norway - Semi-truck narrowly missing kids,2253298,English
9SK1I0V6U5c,Lie Detector | Anwar Jibawi,983365,English
CtBca6H6Teg,Honest Trailers - Batman Forever,829132,English
GTNHqpL0N2g,Roy Moore Would Never Date A Girl Without “The Permission Of Her Mother” | The Daily Show,79246,English
Y9nDagqKL7Q,venting online about a hard part in a video game,394709,English
w9jjpn6W2to,DIY Escape Room: Can They Build Their Way Out?,260276,English
wDEA3rpYHnI,"Marie-Louise Arsenault réplique à Denise Bombardier, 1998",15800,English
UWOAuTP27eo,DUEL DE BLAGUES NULLES ! #2 (Vs Google Home),990009,English
DbJ2s_g1oDc,10 LIFE HACKS YOU NEED TO KNOW with TEENS (REACT),863116,English
xdHmuy1RqCg,Shower - Cyanide & Happiness Minis,680801,English
oP-6Z1RlaIc,"Triple H returns to join Team Raw at Survivor Series: Raw, Nov. 13, 2017",2455165,English
0UJ54iT4yIU,Magic Mud Face Mask Test,172461,English
AGVW9Z4RcUc,Jon Stewart: I Was ‘Shocked’ At Sexual Misconduct Accusations Against Louis C.K. | TODAY,293235,English
vIVaLtJmyPs,UNHhhh Ep 68: Goodbye Barbara w/ Trixie Mattel & Katya Zamolodchikova,271606,English
DupviAaffdk,Stephen Colbert monologue 11/13/17 : Too Much Moore !,187026,English
HIz1H_rkrl0,急诊科医生 | Emergency Physician 30（张嘉译、王珞丹、柯蓝等主演）,74289,English
pcWKpGzhgq4,Jason Momoa Shows Off His Aquaman Quindent | The Graham Norton Show,391049,English
cTRJYA6dibU,Changey Din | Kambi | Sukh E | Sukh Sanghera | Latest Punjabi Song 2017 | Speed Records,3164460,English
a8G-vVFKm4M,வாணி ராணி - VAANI RANI -  Episode 1417 - 14/11/2017,303877,English
9B7phYYVCpI,Congressman PINS Sessions For Lying About Trump's Russia Collusion,249090,English
xr6vrCPyVj8,The Voice 2017 Davon Fleming - The Playoffs: I Am Changing,352054,English
YTiYQwk7Bw0,ALL MY NEW FISH!!,128316,English
PF_A_hVPhHI,how to get Steam Code  FREE and easily,27497,English
WzQrvFAPoII,"JOFFREE DUMPS LAURA LEE, MANNY MUA, NIKITA + JACLYN HILL EYE SHADOW PALETTE",115736,English
v5e4gwDGrNk,How beauty brands failed women of color,275726,English
UoTIqXOBGsc,DI NAPIGILAN TUMAWA NI CANADIAN PRIME MINISTER JUSTIN TRUDEAU SA KAKULITAN NI DUTERTE,107318,English
AlrbKKGIcjI,"Deivamagal Episode 1388, 14/11/17",591632,English
jEtTDPkjoFc,Eminem Performs 'Walk On Water' | MTV EMAs 2017 | Live Performance,1001985,English
Z7Q_FBRgqq0,Joe Rogan on Louis CK,370423,English
l4bAoNAx2uo,American Things Europeans Find Weird,419965,English
r3HjK4fur4c,Alif Allah Aur Insaan Episode 30 HUM TV Drama | 14 November 2017,404217,English
oGSNSLD8rcw,The Flash 4x07 Promo Therefore I Am (HD) Season 4 Episode 7 Promo,70987,English
LfajgipdxmA,How does Yoonla work? Learning CPA,11810,English
8oHAKlhOeZQ,Live with Dr Shahid Masood | 14 November 2017 | Nawaz Sharif | Maryam Nawaz |,157049,English
bO7Qwgs4IFU,BEST Taiwan STREET FOOD & NIGHT MARKET in Kaohsiung!,148993,English
sbIED1w1WuQ,What's inside a Cocao Pod?,246591,English
W2om14p_xfw,Writer: My Kids Can't Be Friends With White People | The View,89444,English
D0CO8cueUb0,"The Last Word With Lawrence O'Donnell - Nov 13, 2017",61778,English
KhbuFwJchMU,How to Get a FREE iPhone X!,48421,English
U_u91SjrEOE,The myth of Prometheus - Iseult Gillespie,167426,English
sxIwJVRWp1E,L'OBJET QUI TE DONNE DES SUPER POUVOIRS !,623627,English
u-WXjOBFdgw,Stephen A. Smith sides with LeBron James in scuffle with Knicks | First Take | ESPN,545806,English
_EuW3ClJ19A,Landlord | ( Full HD) | Rajvir Jawanda Ft. Preet Hundal | New Punjabi Songs 2017,810533,English
9Ca8zWJOlFQ,Apple iPhone X Review: The Best Yet!,577618,English
HfCqloq_jjw,Grill Disk Dub,133345,English
2CZXls3Yclo,Cleveland Cavaliers vs New York Knicks Full Game Highlights / Week 5 / 2017 NBA Season,2010343,English
A5TPOKoE1_M,CHRISTMAS ADVERTS & HOW WE MET,446733,English
I-EjUI-lkrs,"Gary V. Talks Mindset, K-Swiss + Why He Will Never Do Business With Michael Jordan",166512,English
jr9QtXwC9vc,The Greatest Showman | Official Trailer 2 [HD] | 20th Century FOX,2671756,English
rw24wc00q3Q,Getting Back At Your Flaky Friends,187643,English
SOcArtrkU-M,Philippines President Duterte offended by Trudeau raising human rights issues,10093,English
qJ2xXGIJT10,Mario Kart Balloon Battle!!,560691,English
JBWUa5AKRME,Last Week Tonight with John Oliver - S04E30 (HBO) 11/13/2017,33754,English
sUb0tAW4CHc,Bill Burr - Louis C.K.'s Sexual Misconduct,913840,English
024W1BxcIys,POP SONG REVIEW: Thunder by Imagine Dragons/Feel It Still by Portugal. The Man,55192,English
eAyxMv4IBH8,Review of the ION Bottleless Water Cooler,399491,English
qZN9ZSbR3mY,LEAKED: Donald Trump Jr.'s Communications With Wikileaks,76484,English
meRKbDusFN0,Heartland Episode 1108 Preview,15431,English
rt2K9NyDn6c,"QNA#2, MERCH, INKTOBER + FACE REVEAL",157590,English
YkfE8hHUzt4,Dog & Beth: Fight of Their Lives | Official Trailer | Premieres November 27 | A&E,136789,English
MOi9ZIaV9V0,Cheapest Guy Ever (Shrink Wrapped His Whole House),334598,English
MB5LAU5z9gk,Caldo Verde - Portuguese Sausage Kale Soup - Food Wishes,49231,English
8sdQ7dP9Drs,"Today's News: It's On - Get The Goods, November 14th, 2017",4851,English
pxx9kYaa5uo,"Eat Bulaga  November 14, 2017 (FULL) Juan for All - All for Juan Sugod Bahay HD",96334,English
2qoq9TKt-Qw,Joe Biden To Stephen Colbert: Donald Trump Has Created Fear About The Stability Of The Country,66438,English
iJW9_d0EX6o,【完整版】對簿公堂看你怎麼說？小大公審大會！2017.11.14小明星大跟班,104643,English
aumXGJnd_hU,AIB : Lightning Fast Movies,567803,English
Rl6pkKsIxBE,Ask Dr. Dax Shepard,347848,English
FIY3e74wkXY,Tiffany Haddish Makes SNL History,391642,English
0VNjuoiAEd0,Removing The Notch From iPhone X,1663206,English
i-9MxEi5oWg,ماذا قالت الإعلامية بولا يعقوبيان لدى وصولها إلى بيروت من السعودية؟,286273,English
-k6j6Dkyl1M,Sau Ánh Hào Quang #7 FULL | Cát Phượng: Cái sai khi ly dị Thái Hòa là đúng (13/11/2017),1544710,English
uCU5Bc2Q6pc,Vamsam - வம்சம் | Tamil Serial | Sun TV |  Epi 1335 | 14/11/2017 | Vision Time,109639,English
j06RTT1fUUQ,Omour Jedia S02 Episode 10 14-11-2017 Partie 03,45662,English
K7ZAzLjnqa0,Need For Speed [IN REAL LIFE!!] 350Z,214480,English
t2BfG32IDqs,Grant's DIY Mystery Puzzle Box,533561,English
rvkm8DPbWgc,Marc Maron on the Louis C.K Allegations (11/13/2017),198666,English
